Serial ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED starting at pin 13... done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buzzer starting at pin 17... done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR starting at pin 20... done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor starting at pin 21... done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR starting at pin 20... done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyroscope sample rate = 104.00 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyroscope in degrees/second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerometer sample rate = 104.00 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acceleration in g's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyroscope in degrees/second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acc_x_ = -0.14,ay_ = -0.03,az_ = 0.99,roll_init = -1.49,pitch_init = 8.27,yaw_init = 180.00,q0_init = 0.99731,q1_init = -0.01301,q2_init = 0.07212,q3_init = 0.00094,,,,,,,,,,,,,,,,,,,,,,,,,,
key_Rapid,reset,cTime,head_reset,eye_reset,eye_voltage_norm,a_raw,b_raw,c_raw,x_raw,y_raw,z_raw,FLT_THR_POS,FRZ_THR_POS,eye_closed,eye_closed_confirmed,max_nod_f,max_nod_f_confirmed,max_nod_p,max_nod_p_confirmed,delta_pitch,pitch_filt,delta_roll,roll_filt,head_buzz_f,head_buzz_p,eye_buzz,lt_state,st_state,dltst,cf,freeze,v3v3,head_buzz,g_quiet,o_quiet
v20250113_wearDn33iot_Rapid,1,3.001,1,1,2.4007,0.0192,0.0405,0.0021,-0.1427,-0.0259,0.9816,0.04,0.01,0,0,4.274,0,9.274,0,13,21.274,5,3.499,0,0,0,2.4007,2.4007,0,1,0,3.3,0,0,0
v20250113_wearDn33iot_Rapid,0,3.086,1,1,2.47,0.0192,0.0405,0.0021,-0.1427,-0.0259,0.9816,0.04,0.01,0,0,4.274,0,9.274,0,13,21.274,5,3.499,0,0,0,2.47,2.47,0,1,0,3.3,0,0,0
grav tone played,reset,cTime,head_reset,eye_reset,eye_voltage_norm,a_raw,b_raw,c_raw,x_raw,y_raw,z_raw,FLT_THR_POS,FRZ_THR_POS,eye_closed,eye_closed_confirmed,max_nod_f,max_nod_f_confirmed,max_nod_p,max_nod_p_confirmed,delta_pitch,pitch_filt,delta_roll,roll_filt,head_buzz_f,head_buzz_p,eye_buzz,lt_state,st_state,dltst,cf,freeze,v3v3,head_buzz,g_quiet,o_quiet
v20250113_wearDn33iot_Rapid,0,3.19,0,1,2.6287,0.1278,0.2525,0.0639,-0.1665,-0.0216,1.0232,0.04,0.01,0,0,4.845,1,9.845,1,13,21.845,5,3.678,1,1,0,2.6287,2.6287,0,1,0,3.3,1,0.2376,1.3053
v20250113_wearDn33iot_Rapid,0,3.29,0,1,2.6295,0.0096,0.0341,0.0213,-0.2225,-0.0209,1.0096,0.04,0.01,0,0,6.685,1,11.685,1,13,23.685,5,3.752,1,1,0,2.6295,2.6295,0,1,0,3.3,1,0.41,1.0095
v20250113_wearDn33iot_Rapid,0,3.39,0,1,2.6432,-0.0234,-0.066,-0.0746,-0.1941,-0.0017,0.9778,0.04,0.01,0,0,7.001,1,12.001,1,13,24.001,5,4.338,1,1,0,2.6432,2.6432,0,1,0,3.3,1,0.1785,0.1723
v20250113_wearDn33iot_Rapid,0,3.491,0,1,2.6319,-0.0373,-0.066,-0.0085,-0.1655,-0.0297,0.9874,0.04,0.01,0,0,6.288,1,11.288,1,13,23.288,5,3.809,1,1,0,2.6319,2.6319,0,1,0,3.3,1,-0.0079,0.0959
v20250113_wearDn33iot_Rapid,0,3.591,0,1,2.5232,-0.0554,-0.0767,0.032,-0.194,-0.0214,0.9757,0.04,0.01,0,0,6.803,1,11.803,1,13,23.803,5,3.777,1,1,0,2.5232,2.5232,0,1,0,3.3,1,-0.0847,-0.0555
v20250113_wearDn33iot_Rapid,0,3.691,0,1,2.4071,-0.0415,-0.1214,-0.0064,-0.1836,-0.0198,1.0052,0.04,0.01,0,0,6.605,1,11.605,1,13,23.605,5,3.827,1,1,0,2.4071,2.4071,0,1,0,3.3,1,0.0175,0.2387
v20250113_wearDn33iot_Rapid,0,3.791,0,1,2.4015,0.0075,-0.0895,0.0341,-0.1229,-0.0518,0.948,0.04,0.01,0,0,4.995,1,9.995,1,13,21.995,5,2.835,1,1,0,2.4015,2.4015,0,1,0,3.3,1,-0.2065,0.1065
v20250113_wearDn33iot_Rapid,0,3.891,0,1,2.4144,-0.0373,-0.0565,-0.0256,-0.1255,-0.028,0.9806,0.04,0.01,0,0,4.129,1,9.129,1,13,21.129,5,3.089,1,1,0,2.4144,2.4144,0,1,0,3.3,1,-0.3057,-0.1098
v20250113_wearDn33iot_Rapid,0,3.991,0,1,2.3974,-0.0543,-0.0874,-0.0075,-0.1123,-0.0159,1.0251,0.04,0.01,0,0,3.156,1,8.156,1,13,20.156,5,3.598,1,1,0,2.3974,2.3974,0,1,0,3.3,1,0.0737,-0.1331
v20250113_wearDn33iot_Rapid,0,4.091,0,1,2.4023,-0.0586,-0.0714,0.0426,-0.1267,-0.0273,1.0128,0.04,0.01,0,0,3.109,1,8.109,1,13,20.109,5,3.521,1,1,0,2.4023,2.4023,0,1,0,3.3,1,0.233,0.0303
v20250113_wearDn33iot_Rapid,0,4.191,0,1,2.3958,-0.081,-0.0682,0.0383,-0.1465,-0.0453,1.0059,0.04,0.01,0,0,3.672,1,8.672,1,13,20.672,5,2.954,1,1,0,2.3958,2.3958,0,1,0,3.3,1,0.2096,0.0681
v20250113_wearDn33iot_Rapid,0,4.291,0,1,2.4071,-0.1097,-0.1886,0.0277,-0.156,-0.0408,0.9861,0.04,0.01,0,0,4.307,1,9.307,1,13,21.307,5,2.769,1,1,0,2.4071,2.4071,0,1,0,3.3,1,0.0562,0.7286
v20250113_wearDn33iot_Rapid,0,4.391,0,1,2.4224,-0.18,-0.3281,0.0043,-0.1127,-0.0601,0.9988,0.04,0.01,0,0,3.313,1,8.313,1,13,20.313,5,2.119,1,1,0,2.4224,2.4224,0,1,0,3.3,1,-0.0112,1.9592
v20250113_wearDn33iot_Rapid,0,4.491,0,1,2.4345,-0.1193,-0.2322,0.0011,-0.0164,-0.1091,0.9851,0.04,0.01,0,0,0.034,1,5.034,1,13,17.034,5,0.325,1,1,0,2.4345,2.4345,0,1,0,3.3,1,-0.0928,1.9603
v20250113_wearDn33iot_Rapid,0,4.591,0,1,2.4385,-0.0298,-0.0746,-0.0064,-0.0101,-0.1194,0.9985,0.04,0.01,0,0,-1.819,0,3.181,1,13,15.181,5,-0.831,0,1,0,2.4385,2.4385,0,1,0,3.3,0,-0.0829,0.2621
v20250113_wearDn33iot_Rapid,0,4.691,0,1,2.4603,-0.033,-0.0682,-0.0565,0.0031,-0.1204,0.9879,0.04,0.01,0,0,-3.146,0,1.854,1,13,13.854,5,-1.484,0,1,0,2.4603,2.4603,0,1,0,3.3,0,-0.0709,-0.7644
v20250113_wearDn33iot_Rapid,0,4.792,0,1,2.449,-0.0714,-0.1055,-0.0043,-0.0177,-0.0854,1.0001,0.04,0.01,0,0,-3.22,0,1.78,1,13,13.78,5,-0.76,0,1,0,2.449,2.449,0,1,0,3.3,0,-0.0537,-0.7788
v20250113_wearDn33iot_Rapid,0,4.892,0,1,2.5352,-0.0916,-0.1225,-0.0181,-0.002,-0.1083,0.9806,0.04,0.01,0,0,-3.713,0,1.287,1,13,13.287,5,-1.121,0,1,0,2.5352,2.5352,0,1,0,3.3,0,-0.0923,-0.4375
v20250113_wearDn33iot_Rapid,0,4.992,0,1,2.4949,-0.0426,-0.0096,0.033,-0.0017,-0.11,0.9908,0.04,0.01,0,0,-3.957,0,1.043,1,13,13.043,5,-1.315,0,1,0,2.4949,2.4949,0,1,0,3.3,0,-0.1027,-0.7287
v20250113_wearDn33iot_Rapid,0,5.092,0,1,2.4635,-0.0426,-0.0117,0.0053,-0.0068,-0.1128,1.0095,0.04,0.01,0,0,-3.933,0,1.067,1,13,13.067,5,-1.434,0,1,0,2.4635,2.4635,0,1,0,3.3,0,0.0608,-1.0823
v20250113_wearDn33iot_Rapid,0,5.192,0,1,2.4917,-0.0352,-0.0341,-0.0085,0.0125,-0.1354,0.9841,0.04,0.01,0,0,-4.483,0,0.517,1,13,12.517,5,-2.234,0,1,0,2.4917,2.4917,0,1,0,3.3,0,0.0325,-0.9948
v20250113_wearDn33iot_Rapid,0,5.3,0,1,2.4845,0.016,0.0373,0.0224,0.0107,-0.1246,1.0325,0.04,0.01,0,0,-4.686,0,0.314,1,13,12.314,5,-2.153,0,1,0,2.4845,2.4845,0,1,0,3.3,0,0.1991,-0.8253
v20250113_wearDn33iot_Rapid,0,5.4,0,1,2.5014,-0.0181,-0.0245,-0.0053,-0.0223,-0.1195,0.9904,0.04,0.01,0,0,-3.839,0,1.161,1,13,13.161,5,-2.11,0,1,0,2.5014,2.5014,0,1,0,3.3,0,0.1551,-0.716
v20250113_wearDn33iot_Rapid,0,5.5,0,1,2.4917,-0.0288,-0.0543,-0.0053,0.0018,-0.1206,1.0145,0.04,0.01,0,0,-4.114,0,0.886,1,13,12.886,5,-2.036,0,1,0,2.4917,2.4917,0,1,0,3.3,0,0.0865,-0.4527
tone stopped,0,5.398,0,1,2.2169,-0.1587,0.0874,0.0703,0.3158,-0.2439,0.9445,0.04,0.01,0,0,-6.379,0,-1.379,0,13,-5.295,5,-10.621,0,0,0,2.2169,2.2169,0,1,0,3.3,0,0,
v20250113_wearDn33iot_Rapid,0,5.6,0,1,2.532,-0.0373,-0.0618,-0.0213,0.0393,-0.145,1.0082,0.04,0.01,0,0,-5.327,0,-0.327,0,13,11.673,5,-2.714,0,0,0,2.532,2.532,0,1,0,3.3,0,0.145,-0.0973
v20250113_wearDn33iot_Rapid,0,5.7,0,1,2.5046,-0.033,-0.0724,-0.0149,0.0217,-0.1355,0.9824,0.04,0.01,0,0,-5.456,0,-0.456,0,13,11.544,5,-2.888,0,0,0,2.5046,2.5046,0,1,0,3.3,0,-0.0435,0.0974
v20250113_wearDn33iot_Rapid,0,5.8,0,1,2.5578,0.0043,0.0096,-0.0032,0.0378,-0.1191,0.9939,0.04,0.01,0,0,-5.975,0,-0.975,0,13,11.025,5,-2.452,0,0,0,2.5578,2.5578,0,1,0,3.3,0,-0.1141,-0.1858
v20250113_wearDn33iot_Rapid,0,5.9,0,1,2.4619,-0.0447,-0.0831,0.0075,0.0094,-0.1255,1.0306,0.04,0.01,0,0,-5.406,0,-0.406,0,13,11.594,5,-2.287,0,0,0,2.4619,2.4619,0,1,0,3.3,0,0.0967,-0.0387
v20250113_wearDn33iot_Rapid,0,6,0,1,2.4732,-0.0128,-0.0522,-0.0075,0.0618,-0.1506,0.9934,0.04,0.01,0,0,-6.638,0,-1.638,0,13,10.362,5,-3.055,0,0,0,2.4732,2.4732,0,1,0,3.3,0,0.1058,0.1151
v20250113_wearDn33iot_Rapid,0,6.1,0,1,2.4684,-0.0043,-0.0128,0.0075,0.0468,-0.155,1.002,0.04,0.01,0,0,-6.812,0,-1.812,0,13,10.188,5,-3.532,0,0,0,2.4684,2.4684,0,1,0,3.3,0,0.0125,-0.2516
v20250113_wearDn33iot_Rapid,0,6.2,0,1,2.4756,0.0021,-0.0224,-0.0053,0.0568,-0.1434,0.9983,0.04,0.01,0,0,-7.195,0,-2.195,0,13,9.805,5,-3.457,0,0,0,2.4756,2.4756,0,1,0,3.3,0,0.0103,-0.3572
v20250113_wearDn33iot_Rapid,0,6.3,0,1,2.4829,0.0064,0.0021,0.0192,0.061,-0.1414,0.9917,0.04,0.01,0,0,-7.519,0,-2.519,0,13,9.481,5,-3.384,0,0,0,2.4829,2.4829,0,1,0,3.3,0,-0.0671,-0.3565
v20250113_wearDn33iot_Rapid,0,6.4,0,1,2.4748,0.0107,0.0341,0.0053,0.058,-0.1311,0.9965,0.04,0.01,0,0,-7.584,0,-2.584,0,13,9.416,5,-3.029,0,0,0,2.4748,2.4748,0,1,0,3.3,0,-0.0671,-0.2022
v20250113_wearDn33iot_Rapid,0,6.5,0,1,2.4708,-0.0043,0.0117,0.0096,0.0469,-0.1356,0.9913,0.04,0.01,0,0,-7.299,0,-2.299,0,13,9.701,5,-2.998,0,0,0,2.4708,2.4708,0,1,0,3.3,0,-0.0886,-0.1972
v20250113_wearDn33iot_Rapid,0,6.6,0,1,2.4772,0.0021,0.0138,0.0064,0.0461,-0.1313,0.9979,0.04,0.01,0,0,-7.121,0,-2.121,0,13,9.879,5,-2.831,0,0,0,2.4772,2.4772,0,1,0,3.3,0,-0.0556,-0.2167
v20250113_wearDn33iot_Rapid,0,6.7,0,1,2.4675,-0.017,0.0021,0.0288,0.0397,-0.1359,0.9919,0.04,0.01,0,0,-6.847,0,-1.847,0,13,10.153,5,-2.9,0,0,0,2.4675,2.4675,0,1,0,3.3,0,-0.0545,-0.0943
v20250113_wearDn33iot_Rapid,0,6.8,0,1,2.5256,-0.0064,0.0085,0.0021,0.0404,-0.1332,0.9973,0.04,0.01,0,0,-6.719,0,-1.719,0,13,10.281,5,-2.834,0,0,0,2.5256,2.5256,0,1,0,3.3,0,-0.0314,-0.0922
v20250113_wearDn33iot_Rapid,0,6.9,0,1,2.5135,-0.0107,-0.0107,-0.0043,0.0428,-0.1326,1.0004,0.04,0.01,0,0,-6.72,0,-1.72,0,13,10.28,5,-2.769,0,0,0,2.5135,2.5135,0,1,0,3.3,0,0.0117,-0.1355
v20250113_wearDn33iot_Rapid,0,7,0,1,2.5352,-0.0085,0.0053,-0.0032,0.0443,-0.1345,0.9961,0.04,0.01,0,0,-6.764,0,-1.764,0,13,10.236,5,-2.807,0,0,0,2.5352,2.5352,0,1,0,3.3,0,0.015,-0.1192
v20250113_wearDn33iot_Rapid,0,7.1,0,1,2.5119,-0.0128,0.0021,0.0064,0.0417,-0.1311,0.9993,0.04,0.01,0,0,-6.706,0,-1.706,0,13,10.294,5,-2.715,0,0,0,2.5119,2.5119,0,1,0,3.3,0,0.0129,-0.1052
v20250113_wearDn33iot_Rapid,0,7.2,0,1,2.536,-0.0021,0.0075,-0.0064,0.041,-0.1332,0.9987,0.04,0.01,0,0,-6.652,0,-1.652,0,13,10.348,5,-2.728,0,0,0,2.536,2.536,0,1,0,3.3,0,0.0209,-0.0794
v20250113_wearDn33iot_Rapid,0,7.3,0,1,2.5264,-0.0043,-0.0021,-0.0021,0.0345,-0.1331,1.0005,0.04,0.01,0,0,-6.434,0,-1.434,0,13,10.566,5,-2.722,0,0,0,2.5264,2.5264,0,1,0,3.3,0,0.0237,-0.1104
v20250113_wearDn33iot_Rapid,0,7.4,0,1,2.5377,0,0.0107,0.0075,0.0425,-0.1401,0.989,0.04,0.01,0,0,-6.561,0,-1.561,0,13,10.439,5,-2.967,0,0,0,2.5377,2.5377,0,1,0,3.3,0,-0.0247,-0.0637
v20250113_wearDn33iot_Rapid,0,7.5,0,1,2.5288,-0.017,0.0234,-0.0043,0.0497,-0.1311,0.9995,0.04,0.01,0,0,-6.819,0,-1.819,0,13,10.181,5,-2.79,0,0,0,2.5288,2.5288,0,1,0,3.3,0,-0.0225,0.0665
v20250113_wearDn33iot_Rapid,0,7.6,0,1,2.5368,0,0.0085,0.0053,0.0331,-0.1309,1.0028,0.04,0.01,0,0,-6.466,0,-1.466,0,13,10.534,5,-2.678,0,0,0,2.5368,2.5368,0,1,0,3.3,0,0.0327,0.0553
v20250113_wearDn33iot_Rapid,0,7.7,0,1,2.5336,-0.0032,0.0288,-0.0043,0.035,-0.1248,1.0061,0.04,0.01,0,0,-6.335,0,-1.335,0,13,10.665,5,-2.432,0,0,0,2.5336,2.5336,0,1,0,3.3,0,0.0588,0.0729
v20250113_wearDn33iot_Rapid,0,7.8,0,1,2.5368,-0.0288,0.0043,-0.0128,0.0337,-0.1383,0.9891,0.04,0.01,0,0,-6.245,0,-1.245,0,13,10.755,5,-2.763,0,0,0,2.5368,2.5368,0,1,0,3.3,0,-0.0081,0.1606
v20250113_wearDn33iot_Rapid,0,7.9,0,1,2.5191,-0.0032,0.0234,-0.0149,0.0302,-0.1342,0.9957,0.04,0.01,0,0,-6.086,0,-1.086,0,13,10.914,5,-2.782,0,0,0,2.5191,2.5191,0,1,0,3.3,0,-0.0522,0.1328
v20250113_wearDn33iot_Rapid,0,8,0,1,2.532,-0.0085,0.0064,0.0032,0.0277,-0.1361,0.9995,0.04,0.01,0,0,-5.93,0,-0.93,0,13,11.07,5,-2.832,0,0,0,2.532,2.532,0,1,0,3.3,0,-0.0082,0.0144
v20250113_wearDn33iot_Rapid,0,8.1,0,1,2.5304,-0.0107,-0.0043,-0.0064,0.0304,-0.1428,0.9934,0.04,0.01,0,0,-5.932,0,-0.932,0,13,11.068,5,-3.075,0,0,0,2.5304,2.5304,0,1,0,3.3,0,-0.0173,-0.0817
v20250113_wearDn33iot_Rapid,0,8.2,0,1,2.5409,-0.0128,-0.0128,-0.0043,0.0348,-0.1361,0.9956,0.04,0.01,0,0,-6.059,0,-1.059,0,13,10.941,5,-2.995,0,0,0,2.5409,2.5409,0,1,0,3.3,0,-0.0204,-0.0514
v20250113_wearDn33iot_Rapid,0,8.3,0,1,2.5328,-0.0064,-0.0075,0.0043,0.0327,-0.1321,1.0009,0.04,0.01,0,0,-6.056,0,-1.056,0,13,10.944,5,-2.816,0,0,0,2.5328,2.5328,0,1,0,3.3,0,0.0076,-0.0723
v20250113_wearDn33iot_Rapid,0,8.4,0,1,2.5417,-0.0128,0.0064,0.0224,0.0382,-0.1433,0.9874,0.04,0.01,0,0,-6.223,0,-1.223,0,13,10.777,5,-3.102,0,0,0,2.5417,2.5417,0,1,0,3.3,0,-0.0277,-0.0017
v20250113_wearDn33iot_Rapid,0,8.5,0,1,2.5554,-0.0075,0.0064,0.0032,0.0302,-0.134,0.9988,0.04,0.01,0,0,-6.062,0,-1.062,0,13,10.938,5,-2.932,0,0,0,2.5554,2.5554,0,1,0,3.3,0,-0.0257,-0.0167
v20250113_wearDn33iot_Rapid,0,8.6,0,1,2.5425,-0.0107,-0.0021,0.0053,0.0262,-0.1417,0.9957,0.04,0.01,0,0,-5.867,0,-0.867,0,13,11.133,5,-3.078,0,0,0,2.5425,2.5425,0,1,0,3.3,0,0.008,-0.0638
v20250113_wearDn33iot_Rapid,0,8.7,0,1,2.5417,-0.0053,0.0085,-0.0096,0.0308,-0.137,0.9961,0.04,0.01,0,0,-5.896,0,-0.896,0,13,11.104,5,-3.012,0,0,0,2.5417,2.5417,0,1,0,3.3,0,0.0002,-0.0466
v20250113_wearDn33iot_Rapid,0,8.8,0,1,2.5707,-0.0107,-0.016,0.0032,0.028,-0.1366,0.9984,0.04,0.01,0,0,-5.828,0,-0.828,0,13,11.172,5,-2.958,0,0,0,2.5707,2.5707,0,1,0,3.3,0,0.0171,-0.0028
v20250113_wearDn33iot_Rapid,0,8.9,0,1,2.5441,-0.0107,-0.016,0.0085,0.0315,-0.1365,0.9978,0.04,0.01,0,0,-5.895,0,-0.895,0,13,11.105,5,-2.929,0,0,0,2.5441,2.5441,0,1,0,3.3,0,0.0181,0.0415
v20250113_wearDn33iot_Rapid,0,9,0,1,2.5312,-0.0149,-0.0085,-0.0011,0.0392,-0.1353,0.9978,0.04,0.01,0,0,-6.15,0,-1.15,0,13,10.85,5,-2.878,0,0,0,2.5312,2.5312,0,1,0,3.3,0,0.0193,0.0304
v20250113_wearDn33iot_Rapid,0,9.1,0,1,2.5191,-0.0096,0,-0.0053,0.0359,-0.1406,0.9956,0.04,0.01,0,0,-6.183,0,-1.183,0,13,10.817,5,-3.013,0,0,0,2.5191,2.5191,0,1,0,3.3,0,0.0047,-0.0199
v20250113_wearDn33iot_Rapid,0,9.2,0,1,2.5933,-0.0245,-0.0096,0.0043,0.0385,-0.1365,1.0015,0.04,0.01,0,0,-6.268,0,-1.268,0,13,10.732,5,-2.94,0,0,0,2.5933,2.5933,0,1,0,3.3,0,0.0258,0.0289
v20250113_wearDn33iot_Rapid,0,9.3,0,1,2.5288,0.0032,0.0064,0.0075,0.0295,-0.1454,0.9905,0.04,0.01,0,0,-6.059,0,-1.059,0,13,10.941,5,-3.2,0,0,0,2.5288,2.5288,0,1,0,3.3,0,-0.0093,0.0082
v20250113_wearDn33iot_Rapid,0,9.4,0,1,2.5489,-0.0107,0.0021,0,0.0267,-0.1351,1.0022,0.04,0.01,0,0,-5.861,0,-0.861,0,13,11.139,5,-2.991,0,0,0,2.5489,2.5489,0,1,0,3.3,0,0.0017,-0.0597
v20250113_wearDn33iot_Rapid,0,9.5,0,1,2.6199,-0.017,-0.0117,-0.0053,0.0341,-0.1411,0.9974,0.04,0.01,0,0,-5.975,0,-0.975,0,13,11.025,5,-3.074,0,0,0,2.6199,2.6199,0,1,0,3.3,0,0.0218,-0.0022
v20250113_wearDn33iot_Rapid,0,9.6,0,1,2.532,-0.0043,-0.0043,0.0043,0.0305,-0.1427,0.9976,0.04,0.01,0,0,-5.929,0,-0.929,0,13,11.071,5,-3.159,0,0,0,2.532,2.532,0,1,0,3.3,0,0.0079,-0.033
v20250113_wearDn33iot_Rapid,0,9.7,0,1,2.528,-0.0085,-0.0011,0.0021,0.0394,-0.1451,0.9937,0.04,0.01,0,0,-6.165,0,-1.165,0,13,10.835,5,-3.289,0,0,0,2.528,2.528,0,1,0,3.3,0,-0.0085,-0.0724
v20250113_wearDn33iot_Rapid,0,9.8,0,1,2.5167,0.0213,0.0426,-0.0043,0.0493,-0.1499,0.9818,0.04,0.01,0,0,-6.583,0,-1.583,0,13,10.417,5,-3.539,0,0,0,2.5167,2.5167,0,1,0,3.3,0,-0.0836,0.1403
v20250113_wearDn33iot_Rapid,0,9.9,0,1,2.5151,0.0692,0.1193,0.0277,0.0385,-0.1406,0.9865,0.04,0.01,0,0,-6.464,0,-1.464,0,13,10.536,5,-3.372,0,0,0,2.5151,2.5151,0,1,0,3.3,0,-0.1105,0.8094
v20250113_wearDn33iot_Rapid,0,10,0,1,2.5135,0.1342,0.2535,0.0575,0.0253,-0.1239,0.9825,0.04,0.01,0,0,-6.006,0,-1.006,0,13,10.994,5,-2.807,0,0,0,2.5135,2.5135,0,1,0,3.3,0,-0.128,2.0009
v20250113_wearDn33iot_Rapid,0,10.1,0,1,2.5054,0.0895,0.1715,0.0447,-0.0511,-0.0958,1.0372,0.04,0.01,0,0,-3.605,0,1.395,1,13,13.395,5,-1.552,0,1,0,2.5054,2.5054,0,1,0,3.3,0,0.1423,2.0538
v20250113_wearDn33iot_Rapid,0,10.2,0,1,2.4998,0.0405,0.0458,-0.0085,-0.1035,-0.0878,1.016,0.04,0.01,0,0,-0.872,0,4.128,1,13,16.128,5,-0.744,0,1,0,2.4998,2.4998,0,1,0,3.3,0,0.2878,0.6757
v20250113_wearDn33iot_Rapid,0,10.3,0,1,2.5207,-0.0362,-0.0277,-0.2674,-0.0616,-0.0909,1.0214,0.04,0.01,0,0,-0.685,0,4.315,1,13,16.315,5,-0.414,0,1,0,2.5207,2.5207,0,1,0,3.3,0,0.2237,0.8458
v20250113_wearDn33iot_Rapid,0,10.4,0,1,2.4925,-0.0511,-0.0213,-0.0362,-0.0386,-0.104,0.9867,0.04,0.01,0,0,-1.207,0,3.793,1,13,15.793,5,-0.72,0,1,0,2.4925,2.4925,0,1,0,3.3,0,0.0166,0.3524
v20250113_wearDn33iot_Rapid,0,10.5,0,1,2.5183,-0.0266,-0.0458,-0.0021,-0.0715,-0.0868,1.0098,0.04,0.01,0,0,-0.552,0,4.448,1,13,16.448,5,-0.31,0,1,0,2.5183,2.5183,0,1,0,3.3,0,-0.0612,-0.7114
